Word	Tag
quality	O
standards.	O
Among	O
the	O
programs	O
that	O
I	O
am	O
excellent	O
of	O
are	O
AUTOCAD,	O
Basic	O
STAAD,	O
MSOffice,	O
Web	O
Browsing	O
and	O
e-mailing.	O
Aside	O
from	O
the	O
technical	O
qualifications	O
that	O
I	O
have,	O
I	O
am	O
also	O
flexible	O
to	O
work	O
individually	O
or	O
with	O
teams	O
in	O
all	O
working	O
conditions	O
with	O
my	O
commitment	O
to	O
be	O
of	O
my	O
best	O
for	O
the	O
achievement	O
of	O
a	O
common	O
goal.	O
"
"	O
PROFESSIONAL	O
EXPERIENCE	O
"
"	O
April	O
20134.0	O
-	O
PRESENT	O
"
"	O
CHEVRON	B-Companies worked at
�â��	I-Companies worked at
SEPAM	I-Companies worked at
(China)	O
"
"	O
1.8	O
yrs.	O
"
"	O
June	O
2013.0	O
�â��	O
Dec.	O
2013.0	O
"
"	O
QP-	B-Companies worked at
ETIMAAD	I-Companies worked at
Qatar	I-Companies worked at
LLC	I-Companies worked at
"
"	O
6mos.	O
"
"	O
July	O
2011.0	O
�â��	O
July	O
2012.0	O
"
"	O
SATORP	B-Companies worked at
�â��	I-Companies worked at
Kettaneh	I-Companies worked at
Const.	I-Companies worked at
KSA	B-Location
"
"	O
1yr.	O
"
"	O
June	O
2009.0	O
�â��	O
June	O
2011.0	O
"
"	O
SEC	O
-	O
Kettaneh	B-Companies worked at
Const.	I-Companies worked at
KSA	I-Companies worked at
"
"	O
2yrs.	O
"
"	O
April	O
2008.0	O
�â��	O
May	O
2009.0	O
"
"	O
Solar	B-Companies worked at
Resources	I-Companies worked at
Inc.,	I-Companies worked at
Philippines	B-Location
"
"	O
Dec.	O
2006.0	O
�â��	O
Mar.	O
2008.0	O
"
"	O
ACRO	B-Companies worked at
Industrial	I-Companies worked at
&	I-Companies worked at
Development	I-Companies worked at
Inc.,	I-Companies worked at
Philippines	I-Companies worked at
"
"	O
1.4yrs.	O
"
"	O
WORK	O
HISTORY	O
"
"	O
Position	O
:	O
"
"	O
Permit	B-Designation
Checker	I-Designation
(Mechanical	I-Designation
Isolator)	I-Designation
"
"	O
(Construction	O
&	O
Commissioning	O
Stage)	O
"
"	O
Employment	O
Duration	O
:	O
"
"	O
April	O
2013.0	O
-	O
PRESENT	O
"
"	O
Main	O
Contractor	O
:	O
"
"	O
SEPAM	O
Engineering	O
&	O
Consulting	O
(Shanghai)	O
"
"	O
Company	O
Industry	O
:	O
"
"	O
Chuandongbei	O
Natural	O
Gas	O
Plant	O
"
"	O
Owner	O
/	O
Client	O
:	O
"
"	O
CHEVRON	B-Companies worked at
CORP.	I-Companies worked at
&	I-Companies worked at
CHINA	I-Companies worked at
National	I-Companies worked at
Petroleum	I-Companies worked at
Corp.	I-Companies worked at
(CNPC)	I-Companies worked at
"
"	O
Location	O
:	O
"
"	O
Nanba	O
Sichuan,	O
Province	O
of	O
China	O
"
"	O
Project	O
Description:	O
"
"	O
Chevron	O
operates	O
the	O
487,000-acre	O
(1,969-sq-km)	O
Chuandongbei	O
natural	O
gas	O
area	O
in	O
the	O
onshore	O
Sichuan	O
Basin.	O
Having	O
a	O
49.0	O
percent	O
interest	O
in	O
project.	O
The	O
full	O
development	O
includes	O
two	O
sour	O
gas	O
processing	O
plants	O
connected	O
by	O
a	O
gas	O
gathering	O
system	O
to	O
five	O
natural	O
gas	O
fields.	O
In	O
2014,	O
the	O
company	O
continued	O
construction	O
of	O
the	O
first	O
natural	O
gas	O
processing	O
plant	O
and	O
development	O
of	O
the	O
Luojiazhai	O
and	O
Gunziping	O
natural	O
gas	O
fields.	O
The	O
first	O
plant�â��s	O
initial	O
three	O
trains	O
have	O
a	O
design	O
outlet	O
capacity	O
of	O
258.0	O
million	O
cubic	O
feet	O
per	O
day.	O
The	O
first	O
train	O
reached	O
mechanical	O
completion	O
in	O
late	O
2014,	O
and	O
commissioning	O
work	O
began.	O
Start-up	O
is	O
expected	O
in	O
2015.0	O
The	O
project	O
has	O
a	O
total	O
design	O
capacity	O
of	O
558.0	O
million	O
cubic	O
feet	O
of	O
natural	O
gas	O
per	O
day.	O
"
"	O
Job	O
Description:	O
"
"	O
Duties	O
&	O
Responsibilities:	O
"
"	O
Permit	O
Checker	O
(Mechanical	O
Isolator)	O
"
"	O
Ensure	O
compliance	O
of	O
company	O
policies/procedures	O
"
"	O
Ensure	O
operations	O
are	O
conducted	O
to	O
a	O
high	O
standard	O
which	O
meets	O
or	O
exceeds	O
client	O
requirements	O
"
"	O
To	O
execute	O
LOTO	O
base	O
on	O
marked-up	O
P	O
&	O
ID	O
(Mechanical),	O
supervise	O
&	O
co-ordinate	O
and	O
record	O
PTW	O
activities	O
including	O
maintenance	O
of	O
PTW	O
location	O
plot	O
plan	O
and	O
register	O
to	O
ensure	O
safety	O
is	O
maintained	O
at	O
all	O
times	O
in	O
ongoing	O
Construction	O
/	O
Commissioning	O
work	O
areas	O
with	O
no	O
clashes.	O
"
"	O
Enforce	O
and	O
ensure	O
applied	O
Permits	O
system	O
properly	O
describe	O
the	O
scope	O
of	O
work	O
and	O
are	O
accompanied	O
by	O
necessary	O
documentation	O
such	O
as	O
marked-up	O
P&IDs,	O
Method	O
Statements,	O
appropriate	O
Certificates	O
and	O
JHAs.	O
"
"	O
Ensures	O
that	O
all	O
required	O
complementary	O
permits	O
are	O
fully	O
approved	O
and	O
attached	O
to	O
any	O
work	O
permit	O
"
"	O
Ensures	O
that	O
copies	O
of	O
the	O
permit	O
are	O
displayed	O
or	O
filed	O
at	O
the	O
required	O
locations.	O
"
"	O
Keeps	O
track	O
of	O
valid	O
work	O
permits	O
and	O
ensures	O
closure	O
of	O
work	O
permits	O
on	O
completion	O
of	O
Service.	O
"
"	O
Ensures	O
expired	O
work	O
permits	O
are	O
closed,	O
cancelled	O
or	O
renewed	O
as	O
the	O
case	O
maybe.	O
"
"	O
Gives	O
advice	O
to	O
all	O
signatories	O
of	O
the	O
work	O
permit	O
on	O
any	O
aspect	O
of	O
work	O
on	O
site	O
that	O
has	O
high	O
potential	O
risks	O
"
"	O
Collates	O
and	O
records	O
relevant	O
work	O
permit	O
data	O
and	O
updates	O
the	O
site	O
technical	O
and	O
general	O
safety	O
dossier.	O
"
"	O
Audits	O
the	O
Permit	O
To	O
Work	O
procedure	O
implementation	O
on	O
site	O
and	O
compliance	O
to	O
the	O
HSE	O
Management	O
System	O
"
"	O
Establishes	O
accurate	O
records	O
and	O
filing	O
of	O
PTW	O
information	O
in	O
a	O
retrievable	O
/	O
accessible	O
manner	O
"
"	O
Ensures	O
strict	O
implementation	O
of	O
PTW	O
rules	O
at	O
work	O
locations.	O
"
"	O
Supervise	O
Operations	O
and	O
Commissioning	O
Engineers	O
with	O
respect	O
to	O
application	O
of	O
lock-out	O
&	O
tag-out	O
(LOTO)	O
practices	O
in	O
issuing	O
PTW.	O
"
"	O
Provide	O
regular	O
audits	O
of	O
PTW	O
system	O
to	O
ensure	O
compliance	O
with	O
company	O
Procedures	O
and	O
Safe	O
Work	O
"
"	O
Implementation	O
of	O
necessary	O
control	O
measures	O
to	O
ensure	O
that	O
risks	O
are	O
reduced	O
as	O
low	O
as	O
reasonably	O
practicable.	O
"
"	O
Contributing	O
and	O
supporting	O
the	O
development	O
of	O
the	O
onshore	O
HSE	O
strategies	O
and	O
guidelines.	O
"
"	O
Ensures	O
that	O
all	O
maintenance	O
and	O
production	O
activities	O
on	O
site	O
are	O
carried	O
out	O
in	O
a	O
safe	O
manner	O
and	O
in	O
adherence	O
to	O
the	O
Company	O
Safety	O
policy,	O
Statutory	O
Regulations	O
and	O
Guidelines	O
as	O
minimum	O
requirement	O
"
"	O
Participate	O
in	O
the	O
permit	O
project	O
start	O
up	O
meetings	O
and	O
ensure	O
an	O
absolute	O
understanding	O
of	O
all	O
topics	O
discussed	O
"
"	O
Ensures	O
lack	O
of	O
conflict	O
between	O
work	O
requests.	O
"
"	O
Checks	O
that	O
work	O
permits	O
pertain	O
to	O
corresponding	O
work	O
orders	O
and	O
that	O
they	O
are	O
filled	O
out	O
clearly	O
and	O
precisely	O
"
"	O
QA/	B-Designation
QC	I-Designation
Engineer	I-Designation
(Civil)	I-Designation
"
"	O
ETIMAAD	B-Companies worked at
QATAR	I-Companies worked at
LLC.	I-Companies worked at
"
"	O
FEED	O
for	O
NEW	O
LGO	O
Tank	O
(2114FI)	O
&	O
Utilization	O
of	O
LC	O
Tank	O
(2145FA)	O
at	O
QP	O
Refinery	O
"
"	O
QP	O
(Qatar	O
Petroleum-Refinery)	O
"
"	O
Mesaieed,	O
Industrial	O
City,QATAR	O
"
"	O
Project	O
Description	O
:	O
"
"	O
This	O
project	O
aimed	O
is	O
to	O
carry	O
out	O
Front	O
End	O
Engineering	O
Design	O
(FEED)	O
for	O
utilizing	O
Light	O
Component	O
(LC)	O
Tank	O
2145FA	O
and	O
associated	O
Light	O
Gas	O
Oil	O
(LGO)	O
2114FI	O
service.	O
Qatar	O
Petroleum	O
(QP)	O
has	O
a	O
awarded	O
a	O
contract	O
to	O
Etimaad	O
Qatar	O
LLC.	O
"
"	O
FEED	O
executed	O
two	O
distinctly	O
different	O
parts;	O
"
"	O
Part	O
I	O
scope	O
-	O
Design	O
of	O
Light	O
Gas	O
Oil	O
(LGO)	O
Tank	O
to	O
add	O
a	O
new	O
LGO	O
Tank	O
of	O
44900.0	O
m3	O
storage	O
capacity	O
with	O
associated	O
valves,	O
piping,	O
instrumentation	O
&	O
control,	O
fire	O
&	O
gas	O
detection,	O
and	O
fire	O
protection	O
system.	O
This	O
new	O
storage	O
tank	O
will	O
be	O
inter-connected	O
with	O
Berth#6	O
White	O
Oil	O
facilities	O
and	O
Gas	O
Oil	O
Blending	O
facilities.	O
"
"	O
Design	O
of	O
Satellite	O
Equipment	O
Room	O
(SER)	O
Building,	O
this	O
building	O
is	O
constructed	O
to	O
2-storey	O
building	O
and	O
designed	O
as	O
a	O
blast	O
proof	O
building	O
and	O
has	O
following	O
rooms;	O
Air	O
Lock,	O
Equipment	O
room,	O
Battery	O
Cylinder	O
and	O
CO2	O
room.	O
"
"	O
Part	O
II	O
scope	O
-	O
Utilizing	O
the	O
Light	O
Component	O
(LC)	O
Tank	O
2145FA	O
and	O
associated	O
facilities	O
for	O
LGO	O
Services.	O
"
"	O
Examine	O
Plans,	O
Drawings	O
and	O
Site	O
Lay-out	O
for	O
Civil	O
Structure	O
"
"	O
Responsible	O
for	O
reviewing	O
and	O
researching	O
procurement	O
documents,	O
Quality	O
manual,	O
Project	O
Technical	O
Specifications,	O
Drawings,	O
Reference	O
Code,	O
Standards,	O
and	O
Applicable	O
Procedure.	O
"
"	O
Develop	O
and	O
implemented	O
of	O
Quality	O
Control	O
Inspection	O
Plan	O
(QCIP),	O
Inspection	O
and	O
Test	O
Plan	O
(ITP),	O
and	O
Checklist	O
to	O
ensure	O
work	O
flow	O
compliance	O
is	O
met	O
accordingly.	O
"
"	O
Inspection	O
of	O
Construction	O
Sites	O
to	O
ensure	O
that	O
Quality	O
and	O
safe	O
working	O
conditions	O
are	O
maintained.	O
"
"	O
Prepare	O
QA/QC	O
activities	O
as	O
per	O
QP	O
Standard	O
&	O
Specifications.	O
"
"	O
Conduct	O
Civil/	O
Building	O
works	O
inspection	O
as	O
per	O
QP	O
Standard	O
&	O
Specifications	O
for	O
extrusion	O
buildings,	O
pellet	O
silos,	O
substations,	O
process	O
interface	O
buildings,	O
asphalt	O
&	O
concrete	O
pavements,	O
store	O
drainage	O
system,	O
fire	O
water	O
lines,	O
electrical,	O
instrumental	O
&	O
oily	O
water	O
pits,	O
pipe	O
racks	O
and	O
steel	O
erections.	O
"
"	O
Materials	O
receiving	O
inspections	O
for	O
various	O
materials	O
for	O
civil	O
works.	O
"
"	O
Overall	O
supervision	O
on	O
all	O
site	O
activities	O
to	O
ensure	O
that	O
work	O
is	O
completed	O
in	O
accordance	O
with	O
the	O
contract	O
specifications,	O
agreed	O
procedures,	O
method	O
of	O
statements	O
as	O
per	O
QMS	O
&	O
ISO	O
9001:2001	O
STANDARD	O
&	O
client	O
satisfaction.	O
"
"	O
Preparations	O
of	O
all	O
documents	O
to	O
related	O
inspections	O
and	O
attend	O
inspections	O
with	O
the	O
client	O
for	O
all	O
activities	O
of	O
the	O
site	O
&	O
ensure	O
that	O
it	O
is	O
as	O
per	O
latest	O
approved	O
drawings	O
and	O
get	O
approval.	O
"
"	O
Documents	O
all	O
works	O
accurately	O
and	O
comprehensively	O
by	O
means	O
of	O
daybooks,	O
forms	O
&	O
assay	O
batch	O
records.	O
"
"	O
Responsible	O
for	O
the	O
day	O
in	O
process	O
sample	O
storage	O
areas	O
and	O
long	O
term	O
sample	O
storages	O
areas.	O
"
"	O
Assist	O
with	O
the	O
stability	O
study	O
test	O
scheduling	O
and	O
sample	O
storage.	O
"
"	O
Audited	O
calibration	O
records	O
of	O
equipment�â��s,	O
measuring	O
devices	O
and	O
inspection	O
gages.	O
"
"	O
Liaise	O
with	O
the	O
Costumer	O
Representative	O
for	O
the	O
conduct	O
of	O
day	O
to	O
day	O
Quality	O
related	O
activities.	O
Verification	O
of	O
testing	O
equipment�â��s	O
(Measuring	O
Monitoring	O
Devices)	O
related	O
to	O
the	O
job	O
as	O
per	O
requirements.	O
"
"	O
Preparing	O
Method	O
of	O
Statement	O
and	O
Inspection	O
test	O
plan	O
as	O
per	O
project	O
specifications.	O
"
"	O
Conducting	O
various	O
training	O
programs	O
for	O
the	O
foreman,	O
site	B-Designation
engineer	I-Designation
to	O
provide	O
knowledge	O
of	O
the	O
work	O
activity	O
as	O
per	O
project	O
requirements	O
to	O
get	O
a	O
good	O
quality	O
at	O
site.	O
"
"	O
Maintain	O
close	O
working	O
relationship	O
with	O
Client	O
Representatives.	O
"
"	O
QA/	B-Designation
QC	I-Designation
Supervisor	I-Designation
Engineer	I-Designation
"
"	O
SAMSUNG	B-Companies worked at
Engineering	I-Companies worked at
Saudi	I-Companies worked at
Arabia	I-Companies worked at
"
"	O
Jubail	O
Export	O
Refinery	O
&	O
Petrochemical,	O
Package	O
#3	O
AROMATIC	O
Unit	O
"
"	O
SATORP	O
(Saudi	O
Aramco-Total-Refinery	O
&	O
Petrochemical)	O
"
"	O
SATORP	O
Compound	O
Industrial	O
City	O
Jubail	O
2,	O
KSA	O
"
"	O
Project	O
Description	O
:	O
"
"	O
Saudi	O
Aramco	O
Total	O
Refining	O
and	O
Petrochemical	O
(SATORP)	O
has	O
awarded	O
the	O
project	O
Jubail	O
Export	O
Refinery	O
Package	O
#3	O
AROMATICS	O
Project-	O
(JERP	O
#3)	O
to	O
SAMSUNG	O
Engineering	O
Saudi	O
Arabia	O
"
"	O
and	O
the	O
project	O
aims	O
is;	O
To	O
make	O
Installation	O
of	O
Static/Rotary	O
and	O
Package	O
Equipment	O
for	O
3.0	O
Process	O
Aromatics	O
Unit	O
Plant:	O
"
"	O
-Continuous	O
Catalystic	O
Reformer	O
(CCR	O
Area)	O
-Benzene	O
Extraction	O
"
"	O
-Paraxylene	O
Area	O
(PX	O
Area)	O
"
"	O
The	O
work	O
includes	O
also;	O
"
"	O
-Civil	O
Works	O
(Installation	O
of	O
Compressor,	O
Pumps	O
&	O
Equipments	O
Foundation.,	O
Erection	O
of	O
Precast	O
Pipe	O
Rack)	O
"
"	O
-	O
Building	O
Civil	O
Works/	O
Electrical	O
Civil	O
Works	O
"
"	O
-	O
Building	O
Telecommunication	O
Works,	O
Fire	O
Alarm	O
Installations	O
"
"	O
-	O
Building	O
Plumbing,	O
Building	O
HVAC	O
Works	O
"
"	O
-	O
U/G	O
Piping	O
Works	O
"
"	O
Implementing	O
the	O
quality	O
standards	O
in	O
all	O
parameters,	O
planning	O
the	O
inspection	O
and	O
tests	O
as	O
per	O
the	O
approved	O
Inspection	O
&	O
Test	O
Plan	O
and	O
signifies	O
its	O
completion	O
and	O
acceptance.	O
"
"	O
Ensure	O
that	O
all	O
works	O
&	O
construction	O
activities	O
are	O
carried	O
out	O
in	O
accordance	O
with	O
the	O
agreed	O
method	O
statement,	O
inspection	O
test	O
plan	O
(ITP),	O
quality	O
control	O
procedure	O
(QCP),	O
governing	O
specification,	O
site	O
instruction,	O
in	O
compliance	O
with	O
the	O
latest	O
AFC	O
drawing	O
&	O
in	O
accordance	O
to	O
SATORP	O
engineering	O
standard(SAES).	O
"
"	O
Inspect	O
all	O
construction	O
activities	O
to	O
ensure	O
the	O
specification	O
and	O
drawing	O
requirements	O
are	O
satisfied	O
such	O
as;	O
(ASTM,ACI,AISC	O
&	O
AASHTO)	O
STANDARDS	O
&	O
SPECIFICATIONS	O
for	O
the	O
on-going	O
civil	O
works	O
"
"	O
Conduct	O
inspections	O
as	O
per	O
RFI�â��s	O
to	O
ensure	O
that	O
work	O
conforms	O
to	O
the	O
project	O
specifications,	O
material	O
requirements	O
and	O
approved	O
drawings.	O
Offer	O
the	O
work	O
for	O
client	O
inspection	O
and	O
final	O
acceptance.	O
"
"	O
Prepare	O
daily	O
inspection	O
reports,	O
review	O
the	O
test	O
results	O
and	O
maintain	O
the	O
QC	O
records	O
updated.	O
"
"	O
Coordinating	O
with	O
consultant�â��s	O
inspection	O
and	O
construction	O
department,	O
company	O
QA/QC	O
personnel�â��s,	O
independent	O
testing	O
laboratories,	O
vendor	O
etc	O
at	O
laboratory	O
for	O
required	O
field	O
test	O
or	O
testing	O
of	O
materials	O
and	O
aggregate	O
as	O
per	O
QCS	O
Specification.	O
"
"	O
Work	O
in	O
close	O
coordination	O
with	O
the	O
vendors/	O
contractors	O
and	O
ensure	O
that	O
materials	O
received	O
are	O
in	O
accordance	O
with	O
the	O
quantity	O
&	O
quality.	O
"
"	O
Verify	O
calibration	O
status	O
of	O
Monitoring	O
&	O
Measuring	O
Device	O
as	O
per	O
QP	O
specification.	O
"
"	O
Raise	O
Site	O
Observation	O
Reports	O
and	O
Non-Conformance	O
Reports	O
if	O
required.	O
"
"	O
Prepare	O
for	O
Quality	O
Control	O
Method	O
of	O
Statement	O
as	O
per	O
site	O
actual	O
condition	O
and	O
with	O
coordination	O
to	O
QA/QC	O
Manager	O
for	O
approval.	O
"
"	O
Coordinate	O
with	O
the	O
client	O
representatives	O
for	O
QA	O
/	O
QC	O
activities	O
&	O
Objectives.	O
"
"	O
Ensure	O
effectives	O
Quality	O
management	O
system	O
and	O
specification	O
of	O
Qatar	O
Petroleum	O
implementation	O
in	O
the	O
project.	O
"
"	O
QA/	B-Designation
QC	I-Designation
Engineer	I-Designation
"
"	O
National	B-Companies worked at
Contracting	I-Companies worked at
Corporation	I-Companies worked at
"
"	O
Rabigh	O
Power	O
Plant	O
Extension	O
Unit	O
#	O
22.0	O
to	O
49.0	O
(Stage	O
V	O
&	O
Stage	O
VII)	O
"
"	O
Saudi	O
Electricity	O
Company	O
(SEC)	O
"
"	O
Rabigh	O
Power	O
Plant,	O
Jeddah	O
KSA	O
"
"	O
NESPAK-	O
SAUDI	O
CONSULT	O
is	O
a	O
joint	O
venture	O
was	O
hired	O
1680.0	O
MW	O
Rabigh	O
Power	O
Plant	O
Extension	O
Project	O
which	O
comprises	O
the	O
Engineering	O
Design,	O
Procurement	O
&	O
training	O
on	O
Equipment	O
system,	O
"
"	O
Structures	O
and	O
Civil	O
works	O
for	O
28.0	O
GAS	O
TURBINE	O
for	O
its	O
Units	O
22~49	O
and	O
with	O
a	O
total	O
project	O
cost	O
of	O
US$	O
1.805	O
Million.	O
"
"	O
This	O
two-phase	O
project	O
is	O
aimed	O
at	O
meeting	O
the	O
growing	O
Electricity	O
needs	O
of	O
Makkah	O
Al-Mukkarramah	O
and	O
Madinah	O
Al-Munnawwarah	O
Western	O
Regions.	O
"
"	O
QA/	O
QC	O
Engineer	O
"
"	O
Implementation	O
of	O
the	O
(SABIC,ASTM,ACI,AISC	O
&	O
AASHTO)	O
STANDARDS	O
&	O
SPECIFICATIONS	O
for	O
the	O
on-going	O
civil	O
works	O
"
"	O
Conduct	O
daily	O
inspections	O
&	O
testing	O
of	O
workmanship	O
quality	O
with	O
the	O
Client�â��s	O
QA/QC	O
Inspector	O
for	O
Civil	O
works	O
such	O
as;	O
Formworks,	O
rebar	O
works,	O
anchor	O
bolts,	O
and	O
embedded	O
items	O
in	O
various	O
equipment	O
and	O
structure	O
foundations	O
with	O
the	O
sub-contractors	O
and	O
client�â��s	O
representative	O
prior	O
to	O
pouring	O
of	O
concrete.	O
"
"	O
Inspection	O
of	O
building	O
&	O
architectural	O
as	O
per	O
specification	O
and	O
drawing.	O
"
"	O
Inspection	O
of	O
all	O
construction	O
activities	O
at	O
site	O
like	O
Foundations,	O
Elevated	O
Structures,	O
Manholes,	O
RC	O
Pits,	O
"
"	O
Equipment	O
Foundations,	O
Electrical	O
&	O
Instrumentation	O
Duct	O
Banks,	O
Underground	O
Tunnel	O
Electrical	O
Cable,	O
Grouting,	O
,	O
Drains,	O
Ditches,	O
Earth	O
Work	O
like	O
Excavation	O
&	O
Backfilling,	O
Ridged	O
&	O
flexible	O
Paving,	O
Road	O
works,	O
